ttt,ID,habitat,habitat2,initial_size,Lf,tethered.density,overall.density,date.mortality.recorded,date.last.alive,start.date,time_alive,length.experiment,Mortality,mort2
UHD2,77,SG,U,112,110,0.008333333,0.080952381,NA,8/15/2004,7/1/2004,45,45,0,1
UHD2,78,SG,U,107,106,0.008333333,0.080952381,8/7/2004,7/31/2004,7/1/2004,37,45,1,0
UHD2,79,SG,U,149,M,0.008333333,0.080952381,8/15/2004,8/7/2004,7/1/2004,45,45,1,0
UHD2,80,SG,U,112,112,0.008333333,0.080952381,NA,8/14/2004,7/1/2004,45,45,0,1
UHD3,81,SG,U,109,112,0.053571429,0.136904762,NA,8/14/2004,7/2/2004,43,43,0,1
UHD3,82,SG,U,114,116,0.053571429,0.136904762,NA,8/14/2004,7/2/2004,43,43,0,1
UHD3,83,SG,U,117,118,0.053571429,0.136904762,NA,8/14/2004,7/2/2004,43,43,0,1
UHD3,84,SG,U,134,116,0.053571429,0.136904762,NA,8/14/2004,7/2/2004,43,43,0,1
UHD3,85,SG,U,115,119,0.053571429,0.136904762,NA,8/14/2004,7/2/2004,43,43,0,1
UHD3,86,SG,U,120,114,0.053571429,0.136904762,NA,8/14/2004,7/2/2004,43,43,0,1
UHD3,87,SG,U,123,132,0.053571429,0.136904762,NA,8/14/2004,7/2/2004,43,43,0,1
UHD3,88,SG,U,113,106,0.053571429,0.136904762,NA,8/14/2004,7/2/2004,43,43,0,1
UHD3,89,SG,U,110,105,0.053571429,0.136904762,NA,8/14/2004,7/2/2004,43,43,0,1
UHD3,90,SG,U,114,106,0.053571429,0.136904762,NA,8/14/2004,7/2/2004,43,43,0,1
ULD1,91,SG,U,119,120,0.004166667,0.030952381,NA,8/15/2004,7/1/2004,45,45,0,1
ULD1,92,SG,U,111,108,0.004166667,0.030952381,NA,8/15/2004,7/1/2004,45,45,0,1
ULD1,93,SG,U,110,108,0.004166667,0.030952381,NA,8/15/2004,7/1/2004,45,45,0,1
